index,process_stage,name,op,target,args,users,shape,dtype
22,qkv_projection,_tensor_constant185,get_attr,_tensor_constant185,,mm_default_1,"[
  4096,
  4096
]",float16
23,qkv_projection,mm_default_1,call_function,aten.mm.default,view_default_1 _tensor_constant185,_unsafe_view_default_1,,
24,qkv_projection,_unsafe_view_default_1,call_function,aten._unsafe_view.default,mm_default_1,view_default_4,,
25,qkv_projection,view_default_2,call_function,aten.view.default,mul_tensor_1,mm_default_2,,
26,qkv_projection,_tensor_constant186,get_attr,_tensor_constant186,,mm_default_2,"[
  4096,
  4096
]",float16
27,qkv_projection,mm_default_2,call_function,aten.mm.default,view_default_2 _tensor_constant186,_unsafe_view_default_2,,
28,qkv_projection,_unsafe_view_default_2,call_function,aten._unsafe_view.default,mm_default_2,view_default_5,,
29,qkv_projection,view_default_3,call_function,aten.view.default,_unsafe_view_default,transpose_int,,
30,qkv_projection,transpose_int,call_function,aten.transpose.int,view_default_3,mul_tensor_2 slice_tensor slice_tensor_1,,
31,qkv_projection,view_default_4,call_function,aten.view.default,_unsafe_view_default_1,transpose_int_1,,
32,qkv_projection,transpose_int_1,call_function,aten.transpose.int,view_default_4,mul_tensor_4 slice_tensor_2 slice_tensor_3,,
33,qkv_projection,view_default_5,call_function,aten.view.default,_unsafe_view_default_2,transpose_int_2,,
34,qkv_projection,transpose_int_2,call_function,aten.transpose.int,view_default_5,expand_default_3 output,,
35,rope,_tensor_constant187,get_attr,_tensor_constant187,,index_tensor,"[
  624,
  128
]",float16
36,rope,index_tensor,call_function,aten.index.Tensor,_tensor_constant187 arg2_1,unsqueeze_default,,
37,rope,unsqueeze_default,call_function,aten.unsqueeze.default,index_tensor,mul_tensor_2 mul_tensor_4,,
38,rope,_tensor_constant188,get_attr,_tensor_constant188,,index_tensor_1,"[
  624,
  128
]",float16
39,rope,index_tensor_1,call_function,aten.index.Tensor,_tensor_constant188 arg2_1,unsqueeze_default_1,,
40,rope,unsqueeze_default_1,call_function,aten.unsqueeze.default,index_tensor_1,mul_tensor_3 mul_tensor_5,,
41,rope,mul_tensor_2,call_function,aten.mul.Tensor,transpose_int unsqueeze_default,add_tensor_1,,
42,rope,slice_tensor,call_function,aten.slice.Tensor,transpose_int,cat_default,,
43,rope,slice_tensor_1,call_function,aten.slice.Tensor,transpose_int,neg_default,,
44,rope,neg_default,call_function,aten.neg.default,slice_tensor_1,cat_default,,
45,rope,cat_default,call_function,aten.cat.default,neg_default slice_tensor,mul_tensor_3,,
46,rope,mul_tensor_3,call_function,aten.mul.Tensor,cat_default unsqueeze_default_1,add_tensor_1,,
47,rope,add_tensor_1,call_function,aten.add.Tensor,mul_tensor_2 mul_tensor_3,expand_default,,
48,rope,mul_tensor_4,call_function,aten.mul.Tensor,transpose_int_1 unsqueeze_default,add_tensor_2,,
49,rope,slice_tensor_2,call_function,aten.slice.Tensor,transpose_int_1,cat_default_1,,
50,rope,slice_tensor_3,call_function,aten.slice.Tensor,transpose_int_1,neg_default_1,,
51,rope,neg_default_1,call_function,aten.neg.default,slice_tensor_3,cat_default_1,,
52,rope,cat_default_1,call_function,aten.cat.default,neg_default_1 slice_tensor_2,mul_tensor_5,,
53,rope,mul_tensor_5,call_function,aten.mul.Tensor,cat_default_1 unsqueeze_default_1,add_tensor_2,,
54,rope,add_tensor_2,call_function,aten.add.Tensor,mul_tensor_4 mul_tensor_5,output transpose_int_3,,
55,attention_scores,transpose_int_3,call_function,aten.transpose.int,add_tensor_2,expand_default_1,,
56,attention_scores,expand_default,call_function,aten.expand.default,add_tensor_1,view_default_6,,
57,attention_scores,view_default_6,call_function,aten.view.default,expand_default,bmm_default,,
58,attention_scores,expand_default_1,call_function,aten.expand.default,transpose_int_3,view_default_7,,
59,attention_scores,view_default_7,call_function,aten.view.default,expand_default_1,bmm_default,,
60,attention_scores,bmm_default,call_function,aten.bmm.default,view_default_6 view_default_7,view_default_8,,
61,attention_scores,view_default_8,call_function,aten.view.default,bmm_default,div_tensor,,
62,attention_scores,div_tensor,call_function,aten.div.Tensor,view_default_8,add_tensor_3,,
63,attention_scores,add_tensor_3,call_function,aten.add.Tensor,div_tensor arg1_1,_softmax_default,,
64,attention_scores,_softmax_default,call_function,aten._softmax.default,add_tensor_3,_to_copy_default_2,,
65,attention_scores,_to_copy_default_2,call_function,aten._to_copy.default,_softmax_default,clone_default,,
66,attention_scores,clone_default,call_function,aten.clone.default,_to_copy_default_2,expand_default_2,,
67,attention_output,expand_default_2,call_function,aten.expand.default,clone_default,view_default_9,,
68,attention_output,view_default_9,call_function,aten.view.default,expand_default_2,bmm_default_1,,
69,attention_output,expand_default_3,call_function,aten.expand.default,transpose_int_2,view_default_10,,
70,attention_output,view_default_10,call_function,aten.view.default,expand_default_3,bmm_default_1,,
71,attention_output,bmm_default_1,call_function,aten.bmm.default,view_default_9 view_default_10,view_default_11,,
72,attention_output,view_default_11,call_function,aten.view.default,bmm_default_1,transpose_int_4,,
73,attention_output,transpose_int_4,call_function,aten.transpose.int,view_default_11,clone_default_1,,
74,attention_output,clone_default_1,call_function,aten.clone.default,transpose_int_4,view_default_12,,
75,attention_output,view_default_12,call_function,aten.view.default,clone_default_1,view_default_13,,
76,output_projection,view_default_13,call_function,aten.view.default,view_default_12,mm_default_3,,
77,output_projection,_tensor_constant189,get_attr,_tensor_constant189,,mm_default_3,"[
  4096,
  4096
]",float16
78,output_projection,mm_default_3,call_function,aten.mm.default,view_default_13 _tensor_constant189,_unsafe_view_default_3,,
79,output_projection,_unsafe_view_default_3,call_function,aten._unsafe_view.default,mm_default_3,add_tensor_4,,
80,output_projection,add_tensor_4,call_function,aten.add.Tensor,arg0_1 _unsafe_view_default_3,_to_copy_default_3 add_tensor_6,,
81,post_attention_rmsnorm,_to_copy_default_3,call_function,aten._to_copy.default,add_tensor_4,mul_tensor_6 pow_tensor_scalar_1,,
82,post_attention_rmsnorm,pow_tensor_scalar_1,call_function,aten.pow.Tensor_Scalar,_to_copy_default_3,mean_dim_1,,
83,post_attention_rmsnorm,mean_dim_1,call_function,aten.mean.dim,pow_tensor_scalar_1,add_tensor_5,,
84,post_attention_rmsnorm,add_tensor_5,call_function,aten.add.Tensor,mean_dim_1,rsqrt_default_1,,
85,post_attention_rmsnorm,rsqrt_default_1,call_function,aten.rsqrt.default,add_tensor_5,mul_tensor_6,,
86,post_attention_rmsnorm,mul_tensor_6,call_function,aten.mul.Tensor,_to_copy_default_3 rsqrt_default_1,_to_copy_default_4,,
87,post_attention_rmsnorm,_to_copy_default_4,call_function,aten._to_copy.default,mul_tensor_6,mul_tensor_7,,
88,post_attention_rmsnorm,_param_constant5,get_attr,_param_constant5,,mul_tensor_7,"[
  4096
]",float16
89,post_attention_rmsnorm,mul_tensor_7,call_function,aten.mul.Tensor,_param_constant5 _to_copy_default_4,view_default_14 view_default_15,,
90,post_attention_rmsnorm,view_default_14,call_function,aten.view.default,mul_tensor_7,mm_default_4,,
91,mlp,_tensor_constant190,get_attr,_tensor_constant190,,mm_default_4,"[
  4096,
  11008
]",float16
92,mlp,mm_default_4,call_function,aten.mm.default,view_default_14 _tensor_constant190,_unsafe_view_default_4,,
93,mlp,_unsafe_view_default_4,call_function,aten._unsafe_view.default,mm_default_4,silu_default,,
94,mlp,silu_default,call_function,aten.silu.default,_unsafe_view_default_4,mul_tensor_8,,
95,mlp,view_default_15,call_function,aten.view.default,mul_tensor_7,mm_default_5,,
96,mlp,_tensor_constant191,get_attr,_tensor_constant191,,mm_default_5,"[
  4096,
  11008
]",float16
97,mlp,mm_default_5,call_function,aten.mm.default,view_default_15 _tensor_constant191,_unsafe_view_default_5,,
98,mlp,_unsafe_view_default_5,call_function,aten._unsafe_view.default,mm_default_5,mul_tensor_8,,
99,mlp,mul_tensor_8,call_function,aten.mul.Tensor,silu_default _unsafe_view_default_5,view_default_16,,
100,mlp,view_default_16,call_function,aten.view.default,mul_tensor_8,mm_default_6,,
101,mlp,_tensor_constant192,get_attr,_tensor_constant192,,mm_default_6,"[
  11008,
  4096
]",float16
102,mlp,mm_default_6,call_function,aten.mm.default,view_default_16 _tensor_constant192,_unsafe_view_default_6,,
103,mlp,_unsafe_view_default_6,call_function,aten._unsafe_view.default,mm_default_6,add_tensor_6,,
104,mlp,add_tensor_6,call_function,aten.add.Tensor,add_tensor_4 _unsafe_view_default_6,output,,
105,layer_output,output,output,output,add_tensor_6 add_tensor_2 transpose_int_2 arg6_1,,,
